Hotel_Name,Hotel_Address,Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,lat,lng
Hotel Arena, s Gravesandestraat 55 Oost 1092 AA Amsterdam Netherlands,194,7.7,12474,1403,9574,52.3605759,4.9159683
K K Hotel George,1 15 Templeton Place Earl s Court Kensington and Chelsea London SW5 9NB United Kingdom,244,8.5,10417,1831,11671,51.4918878,-0.1949706
Apex Temple Court Hotel,1 2 Serjeant s Inn Fleet Street City of London London EC4Y 1LL United Kingdom,639,9.2,12435,2619,20421,51.5137335,-0.1087512
The Park Grand London Paddington,1 3 Queens Garden Westminster Borough London W2 3BA United Kingdom,1058,7.7,38734,4380,27291,51.5142184,-0.1809032
Monhotel Lounge SPA,1 3 Rue d Argentine 16th arr 75116 Paris France,26,8.4,529,171,1117,48.8743481,2.2897334
Kube Hotel Ice Bar,1 5 Passage Ruelle 18th arr 75018 Paris France,13,7.2,737,197,290,48.88657,2.3588332
The Principal London,1 8 Russell Square Camden London WC1B 5BE United Kingdom,724,8,29447,3150,23119,51.5226217,-0.1251602
Park Plaza County Hall London,1 Addington Street Lambeth London SE1 7RY United Kingdom,1322,8.4,45842,6117,37976,51.5014001,-0.1160092
One Aldwych,1 Aldwych Westminster Borough London WC2B 4BZ United Kingdom,60,9.2,2209,259,2891,51.5117832,-0.1194172
Splendid Etoile,1 Avenue Carnot 17th arr 75017 Paris France,75,8.9,1198,486,2661,48.874707,2.2936761
Hotel Trianon Rive Gauche,1 Bis Rue De Vaugirard 6th arr 75006 Paris France,99,8.2,3621,967,4789,48.8487675,2.3410376
InterContinental London Park Lane,1 Hamilton Place Park Lane Westminster Borough London W1J 7QY United Kingdom,162,8.5,2682,510,2131,51.5038632,-0.1504132
Novotel Suites Paris Nord 18 me,1 Impasse Marteau 18th arr 75018 Paris France,91,7.4,5210,1082,2376,48.9015941,2.3597783
Grand Royale London Hyde Park,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom,1274,7.7,65713,6539,47296,51.5109945,-0.1863417
Milestone Hotel Kensington,1 Kensington Court Kensington and Chelsea London W8 5DL United Kingdom,40,9.5,695,209,1927,51.5020425,-0.1866541
Crowne Plaza London Kings Cross,1 Kings Cross Road Islington London WC1X 9HX United Kingdom,628,8.1,21289,2312,14043,51.5263854,-0.1136042
Select Hotel,1 Place De La Sorbonne 5th arr 75005 Paris France,118,8.9,4142,1145,5965,48.8483053,2.3425596
H tel De Vend me,1 Place Vend me 1st arr 75001 Paris France,70,8.7,1126,425,1049,48.8668564,2.3286339
Pullman Paris Centre Bercy,1 Rue De Libourne 12th arr 75012 Paris France,150,8.7,3305,1382,4384,48.8315204,2.3870797
Gardette Park Hotel,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,89,8.2,3136,1011,3897,48.8610265,2.3788974
Hotel Panache,1 rue Geoffroy Marie 9th arr 75009 Paris France,40,8.6,1290,371,1615,48.8732543,2.343239
H tel des Ducs D Anjou,1 Rue Sainte Opportune 1st arr 75001 Paris France,61,7.7,2758,552,1915,48.8598229,2.347111
Hotel Scribe Paris Opera by Sofitel,1 Rue Scribe 9th arr 75009 Paris France,97,8.6,1959,705,2309,48.8704175,2.3296832
Novotel London West,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom,704,8.3,25848,2443,19543,51.4919588,-0.2200956
Haymarket Hotel,1 Suffolk Place Westminster Borough London SW1Y 4HX United Kingdom,68,9.6,1637,255,2428,51.5084595,-0.1311382
Intercontinental London The O2,1 Waterview Drive Greenwich London SE10 0TW United Kingdom,1258,9.4,40591,4204,50471,51.5024348,-0.0002497
H tel Juliana Paris,10 12 rue Cognacq Jay 7th arr 75007 Paris France,96,8.6,3352,577,2944,48.8619373,2.3040298
Hotel L Antoine,10 12 rue de Charonne 11th arr 75011 Paris France,84,8.9,1873,796,4389,48.8524215,2.3743832
Belfast,10 avenue Carnot 17th arr 75017 Paris France,39,7.7,1113,337,1771,48.8756435,2.2938788
Shangri La Hotel Paris,10 Avenue D I na 16th arr 75016 Paris France,38,9.3,679,174,841,48.8637135,2.2934759
Mercure Paris Tour Eiffel Pont Mirabeau,10 Avenue Emile Zola 15th arr 75015 Paris France,33,8,1330,259,1255,48.8460269,2.2788281
Knightsbridge Hotel,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT United Kingdom,129,9.1,2362,473,2488,51.4980052,-0.1643238
The London EDITION,10 Berners Street Westminster Borough London W1T 3NP United Kingdom,85,9.1,2186,372,2127,51.5167472,-0.135965
The Cranley Hotel,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA United Kingdom,77,7.8,4778,388,2701,51.4916378,-0.1832833
Hotel Le 10 BIS,10 Bis rue du D barcad re 17th arr 75017 Paris France,26,9.2,318,196,1014,48.8780363,2.2864907
The Nadler Soho,10 Carlisle Street Westminster Borough London W1D 3BR United Kingdom,329,9,5911,1394,10223,51.5147387,-0.1341108
Grange St Paul s Hotel,10 Godliman Street City of London London EC4V 5AJ United Kingdom,788,8.5,25888,2635,17496,51.5127625,-0.0997157
The Ampersand Hotel,10 Harrington Road Kensington and Chelsea London SW7 3ER United Kingdom,220,9.1,5538,902,7569,51.4943077,-0.1755579
Covent Garden Hotel,10 Monmouth Street Camden London WC2H 9HB United Kingdom,46,9.4,1041,158,1619,51.5145986,-0.1270336
The Nadler Victoria,10 Palace Place Westminster Borough London SW1E 5BW United Kingdom,303,9.3,6748,1608,13198,51.4990259,-0.1427453
Novotel London Tower Bridge,10 Pepys Street City of London London EC3N 2NR United Kingdom,215,8.6,6536,1082,5266,51.5106538,-0.0773676
Crowne Plaza Paris R publique,10 Place De La R publique 11th arr 75011 Paris France,141,8,3486,1053,2830,48.8673199,2.3656296
Le Metropolitan a Tribute Portfolio Hotel,10 Place De Mexico 16th arr 75016 Paris France,34,8.3,1162,286,1249,48.8656973,2.2829776
Atala Champs Elys es,10 rue Chateaubriand 8th arr 75008 Paris France,14,8.2,478,123,371,48.8735418,2.302442
H tel de Jos phine BONAPARTE,10 rue d Ormesson 4th arr 75004 Paris France,27,9,820,240,2032,48.8555319,2.3621212
Maison Souquet,10 rue de Bruxelles 9th arr 75009 Paris France,56,9.3,930,282,2312,48.88366,2.3313845
Hotel Tour d Auvergne Opera,10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,18,8.3,741,164,468,48.8789432,2.3448623
Le Senat,10 rue de Vaugirard 6th arr 75006 Paris France,83,8.3,1539,549,2081,48.8491427,2.3397118
Windsor Opera,10 Rue Gabriel Laumain 10th arr 75010 Paris France,15,8.3,545,168,441,48.8734851,2.3485111
Holiday Inn Paris Montparnasse Pasteur,10 rue Gager Gabillot 15th arr 75015 Paris France,27,7.1,1405,344,438,48.8376887,2.3063102
H tel Keppler,10 Rue Kepler 16th arr 75016 Paris France,77,9.1,907,338,1711,48.8699103,2.2973386
Les Plumes Hotel,10 rue Lamartine 9th arr 75009 Paris France,42,8.8,2041,514,3037,48.8766269,2.3432886
Hotel des Tuileries Relais du Silence,10 rue Saint Hyacinthe 1st arr 75001 Paris France,43,8.1,2099,446,1457,48.8661705,2.331561
Bradford Elys es Astotel,10 rue Saint Philippe du Roule 8th arr 75008 Paris France,43,9.1,953,234,2261,48.8729676,2.3081178
W London Leicester Square,10 Wardour Street Leicester Square Westminster Borough London W1D 6QF United Kingdom,255,8.4,7296,863,4075,51.510843,-0.1314287
The Victoria,10 West Temple Sheen London SW14 7RT United Kingdom,70,8.3,3900,272,3135,51.4611219,-0.2756216
Pullman London St Pancras,100 110 Euston Road Camden London NW1 2AJ United Kingdom,728,8.9,18093,3168,20619,51.5286766,-0.1283489
Crowne Plaza London Kensington,100 Cromwell Road Kensington and Chelsea London SW7 4ER United Kingdom,176,8.7,4837,743,5976,51.495179,-0.183827
Doubletree by Hilton London Kensington,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom,541,8,23738,2367,14071,51.4925138,-0.1787917
Ace Hotel London Shoreditch,100 Shoreditch High Street Hackney London E1 6JQ United Kingdom,404,8.6,10242,1593,9834,51.5254162,-0.0772849
Staybridge Suites London Vauxhall,100 Vauxhall Walk Lambeth London SE11 5AL United Kingdom,94,9.2,2165,742,5878,51.4891226,-0.1205639
The Grosvenor,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ United Kingdom,838,8.4,32524,3274,24866,51.4956657,-0.1452793
The Park Tower Knightsbridge a Luxury Collection Hotel,101 Knightsbridge Westminster Borough London SW1X 7RN United Kingdom,302,8.2,4727,901,2585,51.5014191,-0.1625805
Amp re,102 Avenue de Villiers 17th arr 75017 Paris France,100,8.8,2260,998,3172,48.8848583,2.2997023
Melia Paris Champs Elys es,102 Avenue Victor Hugo 16th arr 75016 Paris France,10,8.3,140,95,166,48.8688962,2.2827459
Le Parisis Paris Tour Eiffel,102 Bd De Grenelle 15th arr 75015 Paris France,241,8.6,7853,1477,10287,48.8494851,2.2955063
Thistle Kensington Gardens,104 Bayswater Rd Westminster Borough London W2 3HL United Kingdom,466,8.2,13952,2134,14529,51.5108439,-0.1839074
Park Plaza Sherlock Holmes London,108 Baker Street Westminster Borough London W1U 6LJ United Kingdom,341,8.2,11171,1496,9599,51.5209191,-0.1566567
Hilton Paris Opera,108 Rue Saint Lazare 8th arr 75008 Paris France,65,8.4,2278,458,2139,48.8756604,2.3252075
The Kensington Hotel,109 113 Queen s Gate Kensington and Chelsea London SW7 5LR United Kingdom,212,8.7,5340,874,5393,51.4925478,-0.1780611
Holiday Inn London Stratford City,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,641,8.7,16244,2130,15112,51.5426054,-0.0072708
Staybridge Suites London Stratford,10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL United Kingdom,248,9.2,6707,945,9522,51.5426351,-0.0073272
Shepherd s Bush Boutique Hotel,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS United Kingdom,227,8,12198,1069,9799,51.5054544,-0.2262216
My Bloomsbury,11 13 Bayley Street Bedford Square Camden London WC1B 3HD United Kingdom,253,8.1,11920,1161,7244,51.5188555,-0.1319172
Holiday Inn Paris Gare de Lyon Bastille,11 15 Rue De Lyon 12th arr 75012 Paris France,205,8.3,5308,2200,6508,48.8468064,2.3714789
H tel Chaplain Paris Rive Gauche,11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,44,8.7,1352,615,3074,48.8427564,2.3305636
H tel Regina Op ra Grands Boulevards,11 Bis rue Mazagran 10th arr 75010 Paris France,25,7.9,1121,287,975,48.8708508,2.3515882
11 Cadogan Gardens,11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,101,8.7,2469,393,3176,51.4936161,-0.1592347
The Wellesley Knightsbridge a Luxury Collection Hotel London,11 Knightsbridge Westminster Borough London SW1X 7LY United Kingdom,56,9,957,185,913,51.502485,-0.1539265
Hotel Astor Saint Honor ,11 Rue d Astorg 8th arr 75008 Paris France,19,7.5,594,101,387,48.8728324,2.3193886
Op ra Marigny,11 Rue de l Arcade 8th arr 75008 Paris France,80,8.1,3080,735,1940,48.871723,2.3235377
H tel Diva Opera,11 rue de Tr vise 9th arr 75009 Paris France,111,8.3,4492,1353,3767,48.8732706,2.3450746
Le Marcel,11 rue du 8 Mai 1945 10th arr 75010 Paris France,44,8.5,1063,413,1598,48.8761376,2.3572681
H tel Duo,11 Rue Du Temple 4th arr 75004 Paris France,119,8.6,3594,883,4241,48.8581186,2.3529369
H tel Le Marianne,11 rue Paul Baudry 8th arr 75008 Paris France,37,8.7,666,213,842,48.8725794,2.3075779
The Rembrandt,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,421,8.5,12481,1802,13159,51.4959227,-0.1702917
Hotel Eden,110 rue Blomet 15th arr 75015 Paris France,39,8.5,1042,477,1220,48.8405612,2.2991035
H tel de la Bourdonnais,111 avenue de la Bourdonnais 7th arr 75007 Paris France,178,8.8,5258,1337,7701,48.8550466,2.304583
Ashburn Hotel,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,123,8.6,4054,629,5005,51.4945522,-0.1861213
Marlin Waterloo,111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,42,8.6,1954,218,1696,51.4990953,-0.1132136
Best Western Premier Marais Grands Boulevards,112 boulevard de S bastopol 3rd arr 75003 Paris France,134,8.3,4515,1408,4161,48.8687425,2.3541761
Novotel London Waterloo,113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,176,8.2,6912,1047,4090,51.4948465,-0.1187481
The Athenaeum,116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom,105,8.1,4115,364,3311,51.504716,-0.1475618
Park International Hotel,117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,229,7.8,12306,1252,7337,51.4945144,-0.1866172
Lansbury Heritage Hotel,117 Poplar High Street Tower Hamlets London E14 0AE United Kingdom,23,9.4,779,82,1076,51.5090985,-0.0157302
Le Dokhan s a Tribute Portfolio Hotel,117 Rue Lauriston 16th arr 75116 Paris France,34,7.9,1366,222,1185,48.8663359,2.2867935
Le Relais Madeleine,11bis Rue Godot de Mauroy 9th arr 75009 Paris France,41,8.7,1005,479,1434,48.870961,2.3267678
Terrass H tel Montmartre by MH,12 14 Rue Joseph De Maistre 18th arr 75018 Paris France,81,9,2699,707,4787,48.8865626,2.3329648
Millennium Hotel Paris Opera,12 Boulevard Haussmann 9th arr 75009 Paris France,78,7.8,2383,515,1892,48.8724588,2.3378004
Waldorf Madeleine,12 boulevard Malesherbes 8th arr 75008 Paris France,139,8.4,3928,1184,4806,48.8715828,2.3224853
Batty Langley s,12 Folgate Street City of London London E1 6BX United Kingdom,197,9.4,3415,644,8568,51.5208575,-0.0779503
Best Western Mornington Hotel Hyde Park,12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,440,8,16353,2418,13530,51.5119933,-0.1782794
Arbor City,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,404,8.9,12636,2197,15450,51.5166755,-0.0697897
Hotel La Lanterne,12 rue de la Montagne Sainte Genevi ve 5th arr 75005 Paris France,46,9,1747,499,2430,48.8489839,2.348383
H tel Square Louvois,12 Rue de Louvois 2nd arr 75002 Paris France,40,9.3,1159,320,2145,48.8684165,2.336869
Hotel Marignan Champs Elys es,12 rue de Marignan 8th arr 75008 Paris France,91,8.7,3623,645,2246,48.8685093,2.3067895
Le Grey Hotel,12 rue de Parme 9th arr 75009 Paris France,61,9,792,393,1298,48.881407,2.3274204
Le Pavillon des Lettres,12 rue des Saussaies 8th arr 75008 Paris France,29,9,415,164,770,48.8713699,2.3181191
H tel San R gis,12 Rue Jean Goujon 8th arr 75008 Paris France,57,8.7,1286,277,1387,48.8665788,2.3084447
Garden Elys e,12 rue Saint Didier 16th arr 75016 Paris France,73,8.5,1274,378,1062,48.8663444,2.2881979
Hotel Louvre Montana,12 rue Saint Roch 1st arr 75001 Paris France,37,8.4,747,325,1218,48.8644627,2.3318473
Ambassadors Bloomsbury,12 Upper Woburn Place Camden London WC1H 0HX United Kingdom,398,7.9,14811,1521,10646,51.5266618,-0.1296571
Le 123 S bastopol Astotel,123 boulevard S bastopol 2nd arr 75002 Paris France,54,9.3,1546,397,3492,48.8675886,2.3531018
Le 123 Elysees Astotel,123 Rue Du Faubourg Saint Honor 8th arr 75008 Paris France,25,9.2,546,171,1485,48.8730823,2.309659
The Bryson Hotel,124 Clerkenwell Rd Camden London EC1R 5DJ United Kingdom,68,7.8,3111,264,2306,51.5220869,-0.1082443
Best Western Mercedes Arc de Triomphe,128 avenue de Wagram 17th arr 75017 Paris France,30,7.8,1084,368,1419,48.8848292,2.3035189
London Marriott Hotel Regents Park,128 King Henry s Road Camden London NW3 3ST United Kingdom,397,8.3,16330,1640,12235,51.5421476,-0.1703073
Hilton London Hyde Park,129 Bayswater Road London W2 4RJ United Kingdom,153,7.8,5328,646,3657,51.51046,-0.1875844
Staunton Hotel B B,13 15 Gower Street Camden London WC1E 6HE United Kingdom,111,8.3,3616,615,4034,51.520378,-0.1303414
1K Hotel,13 Boulevard Du Temple 3rd arr 75003 Paris France,69,7.7,3690,663,2309,48.8639318,2.3658744
H tel Westminster,13 Rue De La Paix 2nd arr 75002 Paris France,158,8.4,5698,1374,6152,48.8693409,2.3310263
L H tel,13 rue des Beaux Arts 6th arr 75006 Paris France,48,8.8,969,224,1648,48.8562272,2.3351758
Mercure Paris Porte d Orleans,13 Rue Fran ois Ory 92120 Paris France,6,7.5,174,110,187,48.8178079,2.3293636
Maxim Op ra,13 rue Geoffroy Marie 9th arr 75009 Paris France,24,8.4,1039,256,580,48.8738557,2.3444232
Le Marceau Bastille,13 Rue Jules Cesar 12th arr 75012 Paris France,88,8.6,2596,1059,2976,48.8490691,2.3697484
Hotel Odeon Saint Germain,13 rue Saint Sulpice 6th arr 75006 Paris France,89,8.6,2207,559,2992,48.8513515,2.3375084
Mercure London Bloomsbury Hotel,130 134 Southampton Row Camden London WC1B 5AF United Kingdom,299,8.3,10526,1361,9105,51.5210085,-0.1230966
The Chamberlain,130 135 Minories City of London London EC3N 1NU United Kingdom,465,8.9,12270,2543,22131,51.5122457,-0.0757326
Radisson Blu Edwardian Grafton,130 Tottenham Court Road Camden London W1T 5AY United Kingdom,713,8.3,27625,2826,22572,51.5241386,-0.1380807
La Villa Haussmann,132 Boulevard Haussmann 8th arr 75008 Paris France,25,9.2,868,283,796,48.8753446,2.3167161
London Marriott Hotel Marble Arch,134 George Street Westminster Borough London W1H 5DN United Kingdom,312,8.2,7641,1505,7423,51.5163841,-0.1635764
Saint Georges Hotel,14 15 Langham Place Westminster Borough London W1B 2QS United Kingdom,368,7.5,15071,2092,9548,51.517839,-0.1424476
Park Grand London Lancaster Gate,14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom,289,8.8,7341,1519,12765,51.5132069,-0.1807816
The Henrietta Hotel,14 Henrietta Street Westminster Borough London WC2E 8QH United Kingdom,11,9.2,246,49,404,51.5109079,-0.1238221
Sofitel Paris Arc De Triomphe,14 Rue Beaujon 8th arr 75008 Paris France,143,8.8,2974,825,3629,48.8751845,2.3013214
Hotel Mercure La Sorbonne Saint Germain des Pr s,14 Rue de la Sorbonne 5th arr 75005 Paris France,37,8.3,998,464,1413,48.8493499,2.3430569
La Tremoille Paris,14 rue de la Tremoille 8th arr 75008 Paris France,52,8.5,838,283,852,48.8668589,2.3028215
Hotel Op ra Richepanse,14 Rue du Chevalier de Saint George 1st arr 75001 Paris France,127,9.2,2466,1073,5219,48.8686931,2.325211
H tel Duc De St Simon,14 Rue St Simon 7th arr 75007 Paris France,69,9,1097,379,2325,48.8560685,2.3236846
Hotel Le Six,14 Rue Stanislas 6th arr 75006 Paris France,40,9.1,622,177,1652,48.8438352,2.3280708
The Bailey s Hotel London,140 Gloucester Road Kensington and Chelsea London SW7 4QH United Kingdom,528,8.7,18823,2485,19963,51.4938733,-0.1824963
London Marriott Hotel Park Lane,140 Park Lane Westminster Borough London W1K 7AA United Kingdom,53,8.8,1388,213,999,51.5131428,-0.1576714
Best Western Premier Louvre Saint Honor ,141 rue St Honor 1st arr 75001 Paris France,97,8.1,4399,923,3642,48.861711,2.340674
Hotel Indigo London Tower Hill,142 Minories City of London London EC3N 1LS United Kingdom,189,9.2,4288,781,8900,51.5128032,-0.07586
Windermere Hotel,142 To 144 Warwick Way Victoria Westminster Borough London SW1V 4JE United Kingdom,31,8.7,963,221,2281,51.4903724,-0.1459218
La Villa Maillot,143 Avenue De Malakoff 16th arr 75016 Paris France,59,8.9,811,445,1512,48.875551,2.2835191
H tel Madison by MH,143 Boulevard Saint Germain 6th arr 75006 Paris France,59,8.8,1314,478,1873,48.8531641,2.3344097
Mercure London Paddington Hotel,144 Praed St Paddington Westminster Borough London W2 1HU United Kingdom,317,7.6,12681,1458,8374,51.5161139,-0.1749521
Hilton London Paddington,146 Praed Street Westminster Borough London W2 1EE United Kingdom,687,8.2,21814,2898,15731,51.515632,-0.175737
London Marriott Hotel Kensington,147 Cromwell Road Kensington and Chelsea London SW5 0TH United Kingdom,105,8,3643,449,2539,51.4944849,-0.1884174
Kensington House Hotel,15 16 Prince Of Wales Terrace Kensington and Chelsea London W8 5PQ United Kingdom,154,8.2,4765,689,5027,51.5012329,-0.1859937
Charlotte Street Hotel,15 17 Charlotte Street Hotel Westminster Borough London W1T 1RJ United Kingdom,88,9.5,1622,319,3076,51.5184158,-0.1348509
The Goring,15 Beeston Place Westminster Borough London SW1W 0JW United Kingdom,67,9.4,1085,200,1692,51.4975621,-0.145551
Novotel Paris 14 Porte d Orl ans,15 Boulevard Romain Rolland 14th arr 75014 Paris France,8,8.3,428,147,755,48.8196885,2.3263505
The Pelham Starhotels Collezione,15 Cromwell Place Kensington and Chelsea London SW7 2LA United Kingdom,174,8.6,5776,833,5052,51.4943935,-0.1750169
The Montague On The Gardens,15 Montague St Bloomsbury Camden London WC1B 5BJ United Kingdom,196,9.3,4508,931,9336,51.520181,-0.1256957
Ritz Paris,15 Place Vend me 1st arr 75001 Paris France,21,9.8,302,122,622,48.8679466,2.3289593
Hotel Les Rives de Notre Dame,15 Quai Saint Michel 5th arr 75005 Paris France,23,8.6,698,265,1828,48.8532269,2.3457159
Sofitel Paris Le Faubourg,15 Rue Boissy d Anglas 8th arr 75008 Paris France,91,8.5,2021,564,2370,48.868414,2.3213247
Bassano,15 Rue de Bassano 16th arr 75016 Paris France,85,8.3,1956,513,1337,48.8690596,2.2971078
Best Western Premier Le Swann,15 rue de Constantinople 8th arr 75008 Paris France,47,8.3,1627,601,1648,48.8797331,2.3206003
H tel des Academies et des Arts,15 Rue De La Grande Chaumi re 6th arr 75006 Paris France,30,8.8,435,215,1211,48.8420669,2.3304091
Hotel Lumen Paris Louvre,15 Rue Des Pyramides 1st arr 75001 Paris France,28,8.7,845,289,1588,48.8652582,2.3329632
Le Marquis Eiffel,15 Rue Dupleix 15th arr 75015 Paris France,84,8.8,1527,489,2695,48.8516619,2.2979395
COQ Hotel Paris,15 rue Edouard Manet 13th arr 75013 Paris France,152,9,3457,1682,6647,48.8328764,2.3572531
Mill sime H tel,15 Rue Jacob 6th arr 75006 Paris France,87,9.3,1690,656,4385,48.8550236,2.3350786
The Leonard Hotel,15 Seymour Street Westminster Borough London W1H 7JW United Kingdom,256,8.2,7751,1330,6485,51.5147071,-0.1578291
DoubleTree by Hilton London Hyde Park,150 Bayswater Road Kensington and Chelsea London W2 4RT United Kingdom,459,8.4,16261,2405,15847,51.5100362,-0.190657
The Ritz London,150 Piccadilly Westminster Borough London W1J 9BR United Kingdom,220,9.3,4823,831,7518,51.5069446,-0.1415776
M by Montcalm Shoreditch London Tech City,151 157 City Road Shoreditch Islington London EC1V 1JS United Kingdom,1471,9.1,39646,4802,40852,51.5278465,-0.0889473
Legend Saint Germain by Elegancia,151 bis Rue de Rennes 6th arr 75006 Paris France,32,8.9,1074,406,1747,48.8453774,2.3256427
Clayton Crown Hotel London,152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom,512,8,24841,2491,18370,51.5561548,-0.2141824
Au Manoir Saint Germain,153 Boulevard Saint Germain 6th arr 75006 Paris France,86,8.6,2168,616,3089,48.853688,2.3322667
St Paul s Hotel,153 Hammersmith Road Hammersmith and Fulham London W14 0QL United Kingdom,204,9,5783,812,8637,51.4934752,-0.2153256
Best Western S vres Montparnasse,153 Rue De Vaugirard 15th arr 75015 Paris France,90,7.8,3401,1544,3145,48.843707,2.3155631
The Bloomsbury Hotel,16 22 Great Russell Street Camden London WC1B 3NN United Kingdom,300,9,9102,1254,10131,51.5171671,-0.1290534
Nolinski Paris,16 Avenue de l Opera 1st arr 75001 Paris France,58,9.4,1179,437,2079,48.8654874,2.3348924
Le Tourville Eiffel,16 avenue de Tourville 7th arr 75007 Paris France,75,8.8,2057,545,3070,48.8542681,2.3078116
Paris Marriott Opera Ambassador Hotel,16 boulevard Haussmann 9th arr 75009 Paris France,37,7.9,1114,263,689,48.8728351,2.3362507
Hotel Indigo London Paddington,16 London Street Paddington Westminster Borough London W2 1HL United Kingdom,114,8.7,4430,602,5282,51.5150534,-0.1739974
Idol Hotel,16 rue d Edimbourg 8th arr 75008 Paris France,50,9.1,1129,560,2494,48.8795369,2.3202966
H tel California Champs Elys es,16 rue de Berri 8th arr 75008 Paris France,219,8.2,4441,1332,3313,48.8726335,2.3048084
Hotel de Seze,16 rue de S ze 9th arr 75009 Paris France,61,9.2,804,489,1613,48.8705741,2.3264194
Number Sixteen,16 Sumner Place Kensington and Chelsea London SW7 3EG United Kingdom,73,9.1,1757,270,1992,51.4930905,-0.1755022
Hotel Xenia Autograph Collection,160 Cromwell Road Kensington Kensington and Chelsea London SW5 0TL United Kingdom,148,9,3558,682,5242,51.4946905,-0.1910197
H tel Hor,160 Rue La Fayette 10th arr 75010 Paris France,161,8.6,4002,1090,7511,48.8793427,2.3577745
Britannia International Hotel Canary Wharf,163 Marsh Wall Docklands Tower Hamlets London E14 9SJ United Kingdom,2682,7.1,124089,9086,55582,51.5019097,-0.0232208
Best Western Op ra Batignolles,165 rue de Rome 17th arr 75017 Paris France,56,7.6,1761,859,1438,48.8870573,2.3143297
H tel de Banville,166 Boulevard Berthier 17th arr 75017 Paris France,59,8.7,1491,493,2755,48.8864673,2.2948911
Villa Eugenie,167 rue de Rome 17th arr 75017 Paris France,11,6.8,1474,165,616,48.8871283,2.314205
Hilton London Euston,17 18 Upper Woburn Place Camden London WC1H 0HT United Kingdom,198,7.4,11394,843,5390,51.5265189,-0.1303689
Egerton House,17 19 Egerton Terrace Knightsbridge Kensington and Chelsea London SW3 2BX United Kingdom,43,9.3,465,199,1396,51.4968406,-0.1675498
Millennium Hotel London Knightsbridge,17 25 Sloane Street Knightsbridge Kensington and Chelsea London SW1X 9NU United Kingdom,759,7.5,18717,2746,10302,51.4999683,-0.1599927
H tel Raphael,17 Avenue Kl ber 16th arr 75016 Paris France,56,8.7,987,282,1402,48.8713239,2.2937849
Le 7 Eiffel Hotel,17 bis rue Am lie 7th arr 75007 Paris France,38,8.5,1178,316,1320,48.8585193,2.3077243
Paris Marriott Rive Gauche Hotel,17 Boulevard Saint Jacques 14th arr 75014 Paris France,37,7.5,977,239,520,48.8315962,2.3399796
Hotel La Place,17 Nottingham Place Westminster Borough London W1U 5LG United Kingdom,55,7.6,2042,301,1855,51.5215257,-0.1533039
Hotel Le Pera,17 Rue de Caumartin 9th arr 75009 Paris France,13,7.8,431,229,233,48.871309,2.3277079
H tel Bedford,17 rue de l Arcade 8th arr 75008 Paris France,230,8.6,6062,1703,6230,48.8720593,2.3236802
Drawing Hotel,17 rue de Richelieu 1st arr 75001 Paris France,5,8.9,274,67,420,48.8644382,2.3359148
Novotel Paris Centre Gare Montparnasse,17 Rue Du Cotentin 15th arr 75015 Paris France,144,8.1,4566,1363,4220,48.838484,2.3150904
D clic Hotel,17 rue Duhesme 18th arr 75018 Paris France,21,8.8,787,360,1174,48.8908018,2.3380204
Villa d Estr es,17 rue g t le coeur 6th arr 75006 Paris France,9,8.7,477,59,697,48.8535089,2.3425787
Bulgari Hotel London,171 Knightsbridge Westminster Borough London SW7 1DW United Kingdom,62,9.3,280,169,638,51.5015721,-0.1628511
Novotel London Greenwich,173 185 Greenwich High Rd Greenwich London SE10 8JA United Kingdom,274,8.6,7955,924,8049,51.4778583,-0.0137463
Park Avenue Baker Street,173 Gloucester Place Westminster Borough London NW1 6DX United Kingdom,468,7.7,18844,1913,12602,51.5241452,-0.1609907
Hotel Plaza Elys es,177 Boulevard Haussmann 8th arr 75008 Paris France,52,8.5,1420,563,1795,48.8746128,2.3056956
